Trip_Distance_km,Day_of_Week,Traffic_Conditions,Weather,Trip_Duration_Minutes,Trip_Price
46.56,Weekday,Low,Clear,119.21,99.8038
40.6,Weekend,Medium,Clear,17.2,29.532000000000004
32.04,Weekday,Low,Clear,31.8,30.446
43.7,Weekday,Low,Clear,114.29,106.0042
40.38,Weekday,Medium,Rain,115.21,63.432300000000005
10.14,Weekday,High,Rain,16.24,19.974400000000003
44.74,Weekday,Medium,Clear,6.72,62.8678
27.43,Weekend,Low,Rain,23.53,52.7821
40.56,Weekend,Medium,Rain,119.54,82.0828
44.91,Weekday,Low,Rain,25.7,63.0611
6.39,Weekday,High,Clear,102.57,51.6275
12.17,Weekend,Low,Rain,7.35,25.4826
43.18,Weekday,High,Clear,104.17,98.6948
1.34,Weekend,Medium,Clear,37.6,22.718200000000003
26.03,Weekday,Medium,Clear,83.98,76.20850000000002
21.45,Weekday,Medium,Clear,82.54,53.056
6.87,Weekday,Medium,Rain,9.0,14.935
17.54,Weekday,Low,Rain,52.06,50.696
16.84,Weekend,Medium,Snow,98.03,30.942000000000004
26.42,Weekday,High,Clear,97.04,75.22040000000001
18.82,Weekday,Low,Rain,74.75,22.8766
48.62,Weekend,Low,Rain,74.49,67.2293
14.96,Weekday,Medium,Rain,66.66,28.5862
2.81,Weekend,Low,Rain,56.65,27.4942
30.87,Weekday,Medium,Clear,55.61,76.4286
25.63,Weekday,Medium,Clear,15.48,54.1556
3.52,Weekday,Medium,Rain,87.64,29.4228
14.65,Weekend,High,Clear,29.58,40.020700000000005
45.51,Weekday,Medium,Clear,27.65,36.4958
12.74,Weekday,Low,Rain,52.47,35.357200000000006
8.1,Weekend,High,Clear,31.19,14.6127
24.98,Weekend,Low,Rain,72.14,52.5934
49.3,Weekday,Low,Clear,47.72,63.866
12.86,Weekday,Low,Clear,56.62,39.5698
33.93,Weekday,Low,Rain,66.77,59.92869999999999
38.32,Weekday,Medium,Clear,28.41,52.6453
12.64,Weekday,Medium,Clear,22.91,20.3819
36.68,Weekend,High,Rain,106.25,76.6192
19.02,Weekday,Medium,Clear,54.88,35.0028
32.04,Weekday,Low,Clear,9.1,40.8518
5.42,Weekday,Medium,Rain,68.73,30.318
41.93,Weekend,Medium,Rain,69.27,87.6519
3.0,Weekday,Low,Clear,34.01,19.6645
29.95,Weekday,Medium,Clear,98.23,48.7802
34.2,Weekday,Low,Clear,113.92,86.1412
1.81,Weekday,Low,Rain,20.63,12.5567
26.09,Weekday,Medium,Rain,62.23,54.62179999999999
34.86,Weekday,Low,Clear,21.52,62.895
7.74,Weekday,Low,Clear,21.54,15.0994
17.71,Weekday,Medium,Clear,6.06,31.829600000000003
6.56,Weekday,Low,Clear,97.94,39.4174
43.99,Weekday,Low,Clear,74.71,66.5363
13.64,Weekday,Medium,Rain,43.75,29.5606
33.34,Weekend,Medium,Clear,72.33,51.2721
41.04,Weekend,High,Clear,41.3,63.522400000000005
28.2,Weekend,Low,Clear,15.0,37.086
12.85,Weekday,Low,Snow,26.63,23.4957
5.56,Weekday,High,Clear,54.22,19.145
45.12,Weekday,Medium,Clear,35.34,79.70039999999999
17.61,Weekday,Low,Clear,64.68,58.257000000000005
44.47,Weekday,High,Clear,59.18,95.1969
39.21,Weekday,Low,Snow,70.94,54.6348
8.92,Weekday,Low,Clear,42.14,28.4048
45.03,Weekday,High,Clear,32.28,53.2857
1.45,Weekend,High,Clear,63.01,12.2396
5.97,Weekday,Medium,Rain,90.57,44.95569999999999
1.25,Weekday,Low,Rain,12.8,9.8005
8.88,Weekend,High,Clear,88.21,59.96039999999999
27.89,Weekend,Low,Clear,97.69,31.3844
34.9,Weekend,Medium,Clear,38.29,44.1375
11.99,Weekend,Medium,Rain,54.06,40.839400000000005
16.94,Weekend,Low,Clear,65.42,25.662
37.58,Weekday,Low,Snow,84.52,86.22719999999998
32.83,Weekend,Medium,Clear,106.59,58.9648
42.61,Weekday,Low,Rain,62.01,72.86829999999999
33.22,Weekend,Low,Clear,41.02,70.5816
5.59,Weekday,High,Clear,30.31,17.147599999999997
48.68,Weekday,Low,Rain,51.44,58.9584
20.26,Weekday,Low,Rain,29.7,23.0728
31.93,Weekday,Medium,Clear,37.67,71.4247
39.95,Weekend,Low,Clear,25.25,59.828
29.27,Weekend,Medium,Rain,33.99,62.982
25.13,Weekend,Medium,Rain,57.23,53.2792
36.4,Weekday,Medium,Clear,117.94,94.105
14.76,Weekend,Medium,Clear,49.98,55.71979999999999
2.19,Weekday,Medium,Clear,14.2,6.472899999999999
32.63,Weekday,Medium,Clear,15.33,35.8539
47.08,Weekend,High,Rain,73.93,65.587
47.74,Weekday,High,Clear,53.16,44.733
45.83,Weekday,Medium,Clear,54.66,88.1462
19.14,Weekend,Low,Snow,11.2,41.6946
1.76,Weekend,Low,Clear,64.4,23.3132
46.49,Weekday,Low,Clear,63.05,118.0321
21.98,Weekday,Medium,Clear,22.2,41.2036
48.22,Weekday,Medium,Clear,19.21,105.144
42.8,Weekday,High,Rain,16.62,57.55120000000001
15.43,Weekday,High,Clear,75.12,29.0991
42.71,Weekday,Low,Clear,33.91,48.4081
16.53,Weekend,Medium,Clear,24.96,21.4931
9.31,Weekend,Low,Rain,115.15,32.415000000000006
28.28,Weekday,Low,Rain,103.28,77.5496
46.87,Weekday,Low,Clear,31.51,92.6832
35.11,Weekday,Low,Rain,42.67,70.2411
28.93,Weekday,Medium,Clear,29.14,74.5744
5.76,Weekday,High,Snow,61.57,19.3694
31.14,Weekend,Low,Clear,7.26,35.4798
37.3,Weekday,Low,Snow,97.47,107.7025
35.15,Weekday,Medium,Rain,96.08,91.8308
40.66,Weekday,Medium,Clear,34.29,41.4292
43.49,Weekday,Low,Clear,68.97,79.6245
45.75,Weekday,Medium,Rain,52.31,50.5038
40.12,Weekend,High,Clear,116.97,96.546
32.85,Weekday,Medium,Clear,31.52,54.4414
39.99,Weekday,High,Clear,43.98,39.538
17.56,Weekday,Low,Clear,103.66,36.0458
29.34,Weekday,High,Clear,70.14,82.3678
23.81,Weekend,Medium,Rain,62.02,63.1719
15.04,Weekday,Low,Clear,15.09,33.4311
29.95,Weekday,High,Clear,81.84,69.47070000000001
2.49,Weekday,Low,Clear,108.02,41.699
2.83,Weekday,Low,Snow,11.65,8.920300000000001
41.31,Weekday,Medium,Clear,21.18,56.05960000000001
18.65,Weekday,Medium,Clear,87.41,54.49459999999999
7.23,Weekday,Low,Clear,55.29,33.7491
26.59,Weekday,Medium,Clear,51.41,34.2597
38.73,Weekday,Medium,Clear,20.75,87.29869999999998
11.58,Weekday,Low,Rain,63.28,26.9202
31.52,Weekday,Low,Clear,19.55,29.0925
5.18,Weekday,Medium,Clear,59.81,21.7323
3.53,Weekend,Low,Clear,92.82,16.1211
32.23,Weekday,High,Clear,119.08,70.5144
48.82,Weekday,High,Clear,101.76,99.5104
26.3,Weekday,Medium,Clear,52.71,65.9299
16.82,Weekday,Low,Snow,93.3,65.1668
39.96,Weekday,Low,Clear,9.66,45.782
2.24,Weekday,Low,Clear,102.26,19.9412
48.17,Weekend,Medium,Clear,44.82,96.3487
41.96,Weekend,Low,Rain,80.28,68.65440000000001
21.04,Weekday,Low,Rain,72.41,34.726
8.67,Weekday,High,Rain,71.36,53.1349
13.26,Weekday,Medium,Clear,44.36,38.814400000000006
36.02,Weekend,Low,Clear,119.17,79.2381
33.35,Weekday,High,Clear,19.63,74.59979999999999
14.72,Weekday,Low,Clear,13.32,38.0988
47.79,Weekend,Low,Clear,106.03,71.3962
13.14,Weekday,Low,Clear,35.14,23.105000000000004
18.44,Weekday,Low,Rain,44.45,48.027
38.13,Weekday,High,Rain,52.23,41.544
1.71,Weekday,High,Clear,87.85,22.4347
3.0,Weekday,Low,Clear,9.82,8.729600000000001
42.92,Weekday,High,Clear,62.85,71.095
35.48,Weekday,Low,Clear,72.19,81.39859999999999
5.79,Weekday,Medium,Clear,10.65,19.973
25.09,Weekend,Medium,Snow,70.95,73.5818
24.2,Weekday,Low,Snow,103.17,49.4676
9.49,Weekday,Medium,Clear,32.82,12.9998
22.26,Weekday,Medium,Clear,105.77,46.7471
31.18,Weekday,Medium,Clear,89.23,58.5727
32.12,Weekday,High,Rain,112.31,86.89770000000001
3.22,Weekday,Medium,Clear,80.58,32.151399999999995
19.36,Weekday,Medium,Rain,55.49,38.3875
31.67,Weekday,Low,Clear,10.16,23.9563
25.65,Weekday,Medium,Snow,110.81,48.4142
42.97,Weekend,Low,Clear,59.08,108.9734
33.28,Weekday,Medium,Rain,8.33,69.9494
4.46,Weekend,Medium,Clear,60.41,23.7068
32.48,Weekday,Low,Clear,19.3,41.65619999999999
2.3,Weekend,Low,Clear,29.64,13.4484
47.07,Weekday,Medium,Rain,71.04,100.2662
29.2,Weekday,High,Rain,76.53,59.87539999999999
20.02,Weekday,High,Clear,63.16,23.1614
32.52,Weekday,Medium,Rain,98.97,81.85180000000001
27.74,Weekday,Low,Clear,75.8,46.9988
47.13,Weekday,Low,Clear,6.47,66.90710000000001
19.92,Weekday,Low,Clear,84.95,64.0787
45.36,Weekday,Medium,Clear,70.04,54.436800000000005
10.59,Weekday,Medium,Clear,79.64,38.0619
4.4,Weekend,Low,Rain,45.28,16.834
5.94,Weekday,Low,Clear,110.47,58.6618
1.89,Weekend,Low,Clear,20.41,6.1269
5.63,Weekday,Low,Clear,82.22,51.39649999999999
34.47,Weekday,High,Clear,5.5,41.834700000000005
4.49,Weekday,Low,Clear,111.33,45.75449999999999
2.14,Weekend,High,Clear,43.3,16.525599999999997
14.81,Weekend,Low,Rain,29.64,20.3458
6.79,Weekend,Medium,Clear,72.29,22.4883
35.14,Weekend,Medium,Clear,55.94,48.006600000000006
31.82,Weekend,High,Rain,8.93,37.1212
44.0,Weekday,Low,Clear,41.76,76.9996
40.37,Weekday,High,Rain,84.32,116.42059999999998
14.82,Weekday,High,Clear,88.36,31.609
9.69,Weekday,Medium,Clear,85.28,37.0004
37.78,Weekend,Medium,Clear,40.76,40.9764
40.53,Weekday,Medium,Clear,16.46,58.6974
49.53,Weekday,Medium,Clear,36.33,68.9135
21.22,Weekday,Medium,Clear,100.66,73.21499999999999
19.23,Weekday,Medium,Clear,117.75,89.472
39.04,Weekday,Medium,Clear,61.79,62.0444
17.7,Weekend,Medium,Clear,6.12,27.174
46.61,Weekday,High,Clear,21.11,97.7908
37.97,Weekday,High,Rain,113.49,97.57659999999998
6.05,Weekday,Medium,Clear,46.98,24.4754
25.76,Weekday,High,Clear,94.76,36.7152
41.5,Weekday,Low,Clear,91.88,102.72459999999998
44.88,Weekday,Medium,Clear,77.08,68.4404
20.07,Weekday,Medium,Snow,78.37,32.155
45.36,Weekend,Medium,Rain,68.68,101.2576
5.47,Weekday,Low,Clear,118.44,44.69539999999999
47.55,Weekday,Low,Clear,94.35,123.928
47.58,Weekday,Low,Clear,105.33,74.8463
29.1,Weekday,High,Clear,29.8,30.698
31.96,Weekday,High,Clear,14.64,35.0564
22.97,Weekend,Low,Rain,60.53,31.8132
37.87,Weekday,High,Clear,70.65,64.5434
5.47,Weekend,Medium,Clear,75.75,19.8829
25.23,Weekday,Low,Rain,100.22,51.0291
27.93,Weekend,Low,Clear,73.35,34.4608
44.5,Weekend,Medium,Clear,23.88,80.18099999999998
6.74,Weekend,Low,Rain,117.71,34.5311
8.01,Weekday,High,Clear,50.28,31.7102
38.31,Weekend,Low,Clear,31.15,40.2799
31.29,Weekend,Medium,Snow,24.7,46.8086
5.96,Weekday,Low,Clear,81.77,27.8795
5.12,Weekend,Low,Clear,75.09,28.7693
35.35,Weekday,Medium,Clear,79.01,58.825
4.57,Weekday,Medium,Rain,15.12,13.0646
41.27,Weekday,Low,Clear,107.76,106.2963
5.16,Weekday,Medium,Clear,58.17,26.6477
19.16,Weekend,Low,Clear,111.87,34.5791
40.83,Weekday,Low,Rain,39.9,69.99549999999999
47.42,Weekday,Low,Rain,104.35,97.4848
37.92,Weekday,Medium,Rain,112.04,77.56840000000001
39.08,Weekday,Low,Clear,36.57,83.694
28.36,Weekend,High,Clear,99.77,49.7657
21.79,Weekday,High,Clear,5.61,31.7717
45.41,Weekday,Low,Clear,69.95,35.4031
6.45,Weekday,Low,Clear,44.01,33.5331
25.14,Weekday,High,Rain,42.11,43.069700000000005
1.56,Weekday,High,Clear,79.16,34.2628
6.76,Weekend,Medium,Clear,35.43,27.9315
32.81,Weekend,Low,Clear,64.74,55.82120000000001
29.59,Weekday,Medium,Rain,6.34,49.36
48.15,Weekday,Low,Clear,69.03,72.6627
19.37,Weekday,Medium,Clear,81.08,26.9741
15.0,Weekday,Low,Snow,73.07,46.46469999999999
43.56,Weekday,Low,Rain,89.67,57.426100000000005
11.96,Weekday,Medium,Snow,70.7,41.71940000000001
48.2,Weekday,Low,Clear,12.68,68.63480000000001
3.11,Weekend,Low,Clear,36.62,12.1141
44.67,Weekend,Medium,Rain,14.16,61.09400000000001
26.86,Weekday,Low,Clear,54.4,55.1892
49.66,Weekend,High,Clear,68.75,72.969
28.14,Weekend,Medium,Clear,87.85,86.5536
48.5,Weekday,Low,Clear,79.03,114.9417
26.63,Weekend,Medium,Clear,43.27,35.08540000000001
31.84,Weekday,High,Snow,91.81,45.6194
23.27,Weekend,Low,Clear,78.31,78.85079999999999
29.63,Weekday,High,Clear,6.31,56.345600000000005
45.16,Weekend,High,Clear,85.1,79.833
3.23,Weekday,Low,Rain,48.24,27.1606
14.77,Weekend,Medium,Clear,113.4,54.42370000000001
47.57,Weekday,Low,Rain,99.07,80.81119999999999
44.62,Weekday,High,Rain,72.58,60.9462
23.33,Weekday,Low,Snow,34.0,59.0736
31.39,Weekday,Low,Clear,28.43,36.0271
14.59,Weekend,Medium,Clear,44.14,25.1968
23.72,Weekday,Medium,Clear,39.05,52.9083
18.31,Weekday,Medium,Rain,64.22,42.6209
29.6,Weekday,Low,Clear,24.02,52.2336
4.81,Weekend,Low,Clear,117.44,46.1779
48.75,Weekend,Medium,Rain,17.41,61.1936
49.32,Weekday,Low,Clear,112.17,88.6814
35.21,Weekend,Medium,Clear,110.06,66.581
27.27,Weekend,High,Clear,65.42,47.996
40.88,Weekend,Low,Clear,55.15,97.2125
8.97,Weekday,Low,Clear,44.17,25.5304
41.3,Weekday,Medium,Rain,71.5,37.17
31.06,Weekday,Low,Clear,37.97,48.4496
21.49,Weekend,Low,Rain,47.2,54.4139
46.7,Weekday,Medium,Clear,14.65,53.0315
43.44,Weekday,Low,Clear,11.01,39.9195
2.29,Weekend,Low,Clear,13.54,13.9334
19.45,Weekday,High,Clear,16.93,24.0367
40.72,Weekday,High,Clear,98.49,63.3579
49.38,Weekday,Low,Clear,9.47,57.153000000000006
8.37,Weekend,Low,Rain,80.78,52.9882
30.11,Weekday,Medium,Clear,36.34,54.1983
19.66,Weekday,Low,Clear,105.23,84.873
48.53,Weekday,Medium,Snow,60.77,124.2416
42.26,Weekday,High,Rain,40.14,84.1558
42.08,Weekend,Medium,Rain,64.53,73.86349999999999
23.97,Weekday,High,Clear,48.93,45.2346
21.33,Weekday,Low,Clear,69.89,46.61750000000001
14.4,Weekend,Low,Clear,18.17,34.3543
3.76,Weekday,Medium,Rain,119.65,45.31230000000001
43.37,Weekend,Low,Clear,53.94,56.61489999999999
40.83,Weekday,Medium,Clear,45.05,75.92699999999999
49.99,Weekend,Low,Clear,86.67,80.7619
28.22,Weekday,High,Clear,100.83,55.7598
38.68,Weekend,Low,Clear,57.24,73.2164
47.29,Weekend,High,Clear,87.75,97.75249999999998
42.63,Weekend,High,Clear,17.36,46.15260000000001
13.12,Weekday,Medium,Snow,102.3,64.9824
23.08,Weekend,Medium,Rain,89.61,54.1212
7.33,Weekend,Medium,Rain,29.35,29.9765
30.7,Weekend,Low,Clear,41.37,44.5307
12.2,Weekend,Medium,Clear,117.25,35.284
33.91,Weekday,Medium,Clear,34.54,40.3595
31.29,Weekday,Medium,Clear,57.45,79.637
6.56,Weekday,Low,Clear,50.68,32.0088
26.5,Weekday,High,Clear,114.61,77.4795
38.84,Weekday,Low,Clear,64.42,62.89040000000001
26.49,Weekday,High,Clear,99.2,66.6318
42.76,Weekday,Medium,Rain,67.92,71.5568
28.04,Weekend,High,Clear,9.69,61.2568
28.49,Weekend,Medium,Clear,41.23,53.8901
7.57,Weekday,High,Clear,103.8,40.163
2.41,Weekday,Low,Clear,31.26,11.5061
38.0,Weekday,High,Clear,30.31,83.6299
35.5,Weekend,Low,Rain,111.09,109.89649999999996
11.44,Weekend,Low,Rain,103.06,38.2552
7.68,Weekday,Medium,Clear,94.11,60.32639999999999
18.18,Weekday,High,Rain,63.0,46.316
20.22,Weekday,Low,Clear,34.14,24.4816
45.3,Weekend,Medium,Rain,8.51,37.7718
18.06,Weekend,High,Clear,20.16,23.279
39.4,Weekend,Medium,Rain,91.44,72.9188
20.43,Weekday,Medium,Clear,53.63,52.6406
43.26,Weekday,Medium,Snow,47.55,77.8741
8.21,Weekend,Medium,Clear,95.18,46.49680000000001
46.4,Weekday,Low,Clear,92.78,101.9914
25.11,Weekday,Medium,Clear,88.1,59.3324
23.5,Weekday,Medium,Clear,43.87,36.9301
49.02,Weekend,Low,Clear,59.03,95.2278
25.14,Weekday,Medium,Rain,43.04,40.2186
12.77,Weekday,Low,Clear,20.9,17.662100000000002
4.72,Weekday,Low,Rain,50.89,35.6928
7.32,Weekday,Medium,Clear,117.69,58.9867
8.44,Weekend,Low,Clear,75.4,41.30720000000001
32.4,Weekend,Low,Clear,13.17,68.9296
9.91,Weekday,Medium,Rain,61.11,38.348600000000005
17.94,Weekday,High,Clear,85.75,58.0861
44.94,Weekday,Low,Clear,64.02,69.1938
33.71,Weekday,Low,Rain,38.23,66.1224
9.44,Weekday,Low,Clear,14.92,12.6264
10.42,Weekday,Low,Clear,112.71,43.0058
3.0,Weekday,Low,Clear,48.49,26.111700000000003
9.28,Weekday,Medium,Clear,71.29,38.447500000000005
14.65,Weekday,Medium,Clear,96.08,63.93
9.67,Weekend,Medium,Clear,42.3,32.7178
5.35,Weekday,Low,Clear,87.36,22.8002
6.91,Weekday,Low,Clear,20.57,17.1693
23.58,Weekday,Medium,Clear,38.5,29.778
18.85,Weekday,Low,Clear,98.29,48.1365
34.83,Weekday,Medium,Snow,87.5,79.71459999999999
2.93,Weekend,Medium,Snow,113.48,43.60339999999999
40.17,Weekday,Medium,Rain,65.69,93.1014
31.77,Weekday,Low,Clear,67.1,72.9137
5.01,Weekend,Low,Rain,58.02,29.055300000000003
43.81,Weekday,Medium,Clear,42.48,69.9316
46.12,Weekday,Low,Clear,59.7,102.4302
14.57,Weekday,Medium,Clear,118.39,37.39
40.5,Weekend,Low,Rain,112.84,84.3528
37.66,Weekday,Medium,Clear,104.15,87.5241
10.04,Weekend,Low,Clear,107.25,44.4294
11.26,Weekend,Medium,Rain,58.8,30.5768
19.15,Weekday,Medium,Clear,80.61,38.9965
24.74,Weekend,High,Clear,107.93,88.8816
19.08,Weekend,Medium,Clear,115.6,39.1976
23.66,Weekday,Medium,Clear,52.82,25.8856
37.63,Weekday,High,Clear,74.12,72.356
2.8,Weekday,Low,Clear,86.63,44.2055
13.37,Weekday,Low,Rain,114.32,50.2412
35.95,Weekday,Low,Clear,33.13,49.78730000000001
27.07,Weekday,Medium,Clear,35.88,31.2318
6.25,Weekend,Medium,Snow,94.31,44.6322
12.88,Weekend,Low,Clear,42.13,43.9909
19.49,Weekend,Medium,Rain,76.0,34.5781
11.36,Weekend,Low,Clear,115.59,62.8
44.64,Weekday,Medium,Rain,52.27,78.7809
30.09,Weekend,Low,Clear,45.84,62.6715
39.67,Weekday,Medium,Clear,52.06,61.871
25.42,Weekday,Medium,Clear,67.58,54.7066
5.26,Weekday,Low,Clear,67.5,33.344
29.76,Weekday,Medium,Rain,20.5,62.7544
37.53,Weekday,Low,Rain,62.05,101.0292
22.15,Weekend,Low,Clear,24.45,32.985499999999995
7.25,Weekday,Low,Clear,19.51,17.9592
14.91,Weekend,Medium,Clear,112.25,65.9698
18.79,Weekend,High,Rain,74.57,45.1726
28.97,Weekday,Medium,Clear,51.21,65.195
18.45,Weekday,Medium,Clear,109.53,85.4652
49.34,Weekend,Low,Clear,78.36,69.91480000000001
30.68,Weekday,Medium,Clear,93.45,72.16069999999999
5.99,Weekday,Medium,Clear,115.4,41.014300000000006
8.49,Weekday,Low,Snow,99.35,33.2317
13.05,Weekday,Low,Clear,103.2,38.9635
8.87,Weekday,Low,Clear,24.8,24.6913
9.5,Weekday,Low,Clear,36.15,29.2945
4.93,Weekend,Medium,Clear,8.67,9.9494
26.7,Weekday,Medium,Clear,13.75,50.789
21.11,Weekend,High,Clear,36.5,30.4015
49.14,Weekday,High,Rain,27.99,69.1972
20.49,Weekday,High,Clear,96.76,74.2598
43.41,Weekday,Low,Rain,5.66,58.0149
41.04,Weekday,Medium,Clear,54.37,44.101
13.64,Weekend,Medium,Rain,51.91,26.076
9.37,Weekday,Medium,Clear,18.1,20.3509
33.76,Weekday,Low,Rain,82.76,102.3316
46.54,Weekday,Low,Rain,85.74,60.0264
28.28,Weekday,Medium,Rain,87.9,71.6404
29.01,Weekday,Low,Clear,88.77,62.4379
14.72,Weekday,Medium,Clear,5.01,20.9951
38.71,Weekday,Medium,Rain,114.7,86.3545
10.17,Weekday,Medium,Clear,98.63,41.4372
16.86,Weekday,Medium,Clear,108.96,75.7144
21.85,Weekday,High,Rain,6.8,32.5735
12.88,Weekday,Medium,Rain,98.13,32.2622
6.63,Weekend,Medium,Clear,101.28,40.8036
30.92,Weekday,Low,Rain,15.73,46.5931
15.14,Weekday,Low,Rain,89.96,46.61319999999999
29.48,Weekday,Low,Clear,115.39,78.5578
8.56,Weekend,Medium,Clear,83.03,46.2939
24.58,Weekend,Medium,Clear,70.61,58.59289999999999
27.1,Weekday,High,Clear,113.75,53.040000000000006
3.54,Weekend,Low,Snow,55.94,20.2324
17.49,Weekday,Low,Clear,73.92,61.8896
4.11,Weekend,Low,Snow,112.28,51.6226
49.51,Weekend,Medium,Clear,13.75,46.207800000000006
16.8,Weekday,Medium,Rain,62.63,26.9585
13.48,Weekday,Low,Rain,96.07,38.769
34.39,Weekday,Low,Clear,72.05,71.7971
21.18,Weekday,Low,Rain,51.27,46.1432
18.09,Weekday,Medium,Clear,7.7,19.2698
46.55,Weekday,High,Clear,42.88,83.375
41.7,Weekday,Low,Clear,66.74,80.7792
48.29,Weekend,Medium,Rain,109.74,104.1555
36.81,Weekday,Low,Clear,19.66,78.95210000000002
46.98,Weekend,Low,Clear,15.7,101.6666
9.88,Weekend,Medium,Clear,72.77,25.8142
37.31,Weekday,High,Clear,35.63,54.9343
29.15,Weekday,Medium,Clear,108.44,81.9816
39.97,Weekday,Medium,Rain,107.38,47.846900000000005
9.05,Weekend,Medium,Clear,59.73,19.1069
40.91,Weekday,Medium,Clear,19.1,57.53359999999999
33.59,Weekday,Low,Rain,111.71,69.7245
26.63,Weekend,High,Clear,57.22,57.1264
43.98,Weekend,Low,Clear,47.22,72.8562
20.23,Weekend,Low,Clear,7.17,35.3812
19.47,Weekday,Low,Clear,84.35,40.56649999999999
23.67,Weekday,Medium,Snow,43.49,62.2353
37.63,Weekday,Medium,Clear,85.34,38.6058
25.63,Weekday,Medium,Rain,85.95,59.886
12.38,Weekday,Medium,Rain,61.64,29.9606
45.08,Weekend,High,Clear,110.21,70.29329999999999
19.81,Weekday,Low,Rain,61.26,43.8544
45.42,Weekend,Medium,Clear,27.93,50.89789999999999
6.73,Weekday,Low,Clear,9.87,20.0083
47.05,Weekday,Low,Snow,77.86,128.6549
31.76,Weekday,Low,Clear,33.58,34.952
7.82,Weekend,Low,Rain,93.64,36.1464
39.91,Weekday,Medium,Clear,42.63,75.4875
31.38,Weekday,High,Clear,32.85,28.6304
27.14,Weekend,Medium,Clear,24.44,31.4354
44.8,Weekend,Low,Clear,94.11,108.2325
39.64,Weekday,Medium,Rain,19.92,57.3952
13.18,Weekday,Medium,Clear,84.05,55.86
